pid,ts,designation,stCounty,refFrame,epoch,lat,latDms,latP2p,lon,lonDms,lonP2p,ellHt,ellHtP2p,datum,orthoHt,orthoHtP2p,observed,agency,monumentType,monumentDesc,setting,specificSetting,stamping,stability,magnetic,condition,description
DL9229,21055144436,PK CANAL,"CA,Colusa County",NAD_83(2011),2010.0000,39.2078519389,N391228.26698,0.005,-122.2995202389,W1221758.27286,0.007,32.351,0.008,NAVD88 (Computed using GEOID18),62.136,0.067,2021-02-19 16:29:00+00:00,Provost & Pritchard Consulting Group,Other,Nail,Retaining wall or concrete ledge, ,NONE,Monument will probably hold position well,No magnetic material,S,FOUND IN GOOD CONDITION AS DESCRIBED
DN4097,15131091635,B95580,"CA,San Joaquin County",NAD_83(2011),2010.0000,38.0502923472,N380301.05245,0.006,-121.4966500278,W1212947.94010,0.007,-29.526,0.008,NAVD88 (Computed using GEOID18),2.472,0.061,2015-04-09 15:48:00+00:00,Bestor Engineers Inc.,Rod,Metal rod,Copper-clad steel rod without sleeve (10FT+ or 3.048M+), ,B95580,Monument will probably hold position well,Other (see description),S, 
DN4101,21242153505,EGOC,"CA,Sacramento County",NAD_83(2011),2010.0000,38.4087240889,N382431.40672,0.011,-121.4841690806,W1212903.00869,0.007,-18.890,0.011,NAVD88 (Computed using GEOID18),12.169,0.055,2021-08-27 15:17:00+00:00,Sacramento County California,Disk,Survey disk (other agency),Massive structures (other than listed below), ,EGOC 2008,Monument will probably hold position well,No magnetic material,S, 
DN4102,21344135536,JERSEY,"CA,Contra Costa County",NAD_83(2011),2010.0000,38.0479291389,N380252.54490,0.006,-121.6588138111,W1213931.72972,0.004,-30.225,0.006,NAVD88 (Computed using GEOID18),2.112,0.067,2021-12-03 16:28:00+00:00,Sacramento County California,Disk,Survey disk (other agency),Copper-clad rod in sleeve (10FT+ or 3.048M+), ,JERSEY 2008,Monument will probably hold position well,No magnetic material,S, 
DN4116,21342143905,WHITE,"CA,Sacramento County",NAD_83(2011),2010.0000,38.3946289389,N382340.66418,0.003,-121.4174844194,W1212502.94391,0.012,-21.731,0.008,NAVD88 (Computed using GEOID18),9.185,0.053,2021-11-17 15:52:00+00:00,Sacramento County California,Disk,Survey disk (other agency),Massive structures (other than listed below), ,WHITE 2008,Monument will probably hold position well,No magnetic material,S, 
DN4118,21344120606,LOT,"CA,Yolo County",NAD_83(2011),2010.0000,38.5746132111,N383428.60756,0.009,-121.5624852389,W1213344.94686,0.006,-25.495,0.024,NAVD88 (Computed using GEOID18),5.377,0.066,2021-12-03 16:32:00+00:00,Sacramento County California,Disk,Survey disk (other agency),Pavement (street sidewalk curb etc.), ,LOT 2011,May hold commonly subject to ground movement,No magnetic material,S, 
DR6401,22083064247,K 1388 RESET,"CA,Stanislaus County",NAD_83(2011),2010.0000,37.7000106889,N374200.03848,0.001,-121.0734378694,W1210424.37633,0.003,-7.008,0.006,NAVD88 (Computed using GEOID18),25.002,0.050,2022-03-22 13:50:00+00:00,Provost & Pritchard Consulting Group,Disk,Survey disk (other agency),Set in top of concrete monument, ,K 1388 RESET 2020,May hold commonly subject to ground movement,No magnetic material,S,FOUND IN GOOD CONDITION AS DESCRIBED
DR8004,24064140053,ECOLOGY,"CA,Sacramento County",NAD_83(2011),2010.0000,38.5509606694,N383303.45841,0.002,-121.3375811306,W1212015.29207,0.008,-7.391,0.008,NAVD88 (Computed using GEOID18),23.101,0.053,2024-02-29 17:34:00+00:00,Sacramento County California,Disk,Survey disk (other agency),Massive structures (other than listed below), ,2021 N65 ECOLOGY LS 9539,Monument will probably hold position well,No magnetic material,S, 
EW3669,23184163432,P 1098,"CA,Kern County",NAD_83(2011),2010.0000,34.9322212500,N345555.99650,0.017,-118.9284254806,W1185542.33173,0.007,470.846,0.035,NAVD88 (Computed using GEOID18),502.967,0.065,2023-06-27 16:45:00+00:00,Provost & Pritchard Consulting Group,Disk,Bench mark disk,In a boulder, ,P 1098 1968,May hold commonly subject to ground movement,No magnetic material,G,FOUND IN GOOD CONDITION AS DESCRIBED
EW3685,21347135151,N 1209,"CA,Kern County",NAD_83(2011),2010.0000,34.9899941000,N345923.97876,0.007,-118.9460819194,W1185645.89491,0.013,296.459,0.020,NAVD88 (Computed using GEOID18),329.214,0.055,2021-12-08 17:14:00+00:00,Provost & Pritchard Consulting Group,Disk,Bench mark disk,Retaining wall or concrete ledge, ,N 1209 1970,May hold commonly subject to ground movement, ,S,FOUND IN GOOD CONDITION AS DESCRIBED
FU0045,21006191533,K 537,"CA,Kern County",NAD_83(2011),2010.0000,35.2940082806,N351738.42981,0.010,-118.6401292111,W1183824.46516,0.011,361.547,0.005,NAVD88 (Computed using GEOID18),393.126,0.066,2020-12-22 19:03:00+00:00,Provost & Pritchard Consulting Group,Disk,Bench mark disk,In rock outcrop or ledge, ,K 537 1956,Most reliable; expected to hold position well, ,S,FOUND IN GOOD CONDITION AS DESCRIBED
FU0078,21231184555,H 826,"CA,Kern County",NAD_83(2011),2010.0000,35.1944300500,N351139.94818,0.004,-118.8239572000,W1184926.24592,0.014,95.179,0.015,NAVD88 (Computed using GEOID18),128.052,0.064,2021-08-06 16:14:00+00:00,Provost & Pritchard Consulting Group,Disk,Bench mark disk,Set in top of concrete monument, ,H 826 1947,May hold commonly subject to ground movement,No magnetic material,G,FOUND IN GOOD CONDITION AS DESCRIBED
