pid,navd88_match_line,navd88_ft,ngvd29_flag,ngvd29_ft,error
JS0882,"NAVD 88
 ORTHO HEIGHT - 44.043 (meters) 144.50 (feet) ADJUSTED",144.5,False,142.2,
KS1136,"NAVD 88
 ORTHO HEIGHT - 43.685 (meters) 143.32 (feet) ADJUSTED",143.32,True,140.99,
KS1238,,,,,
KS1239,,,,,
JS2436,,,,,
KS1312,,,,,
KS1313,,,,,
KS1133,"NAVD 88
 ORTHO HEIGHT - 47.419 (meters) 155.57 (feet) ADJUSTED",155.57,True,153.24,
KS1083,"NAVD 88
 ORTHO HEIGHT - 48.585 (meters) 159.40 (feet) ADJUSTED",159.4,True,157.03,
KS1240,,,,,
KS1132,"NAVD 88
 ORTHO HEIGHT - 48.578 (meters) 159.38 (feet) ADJUSTED",159.38,True,157.04,
JS0884,"NAVD 88
 ORTHO HEIGHT - 50.635 (meters) 166.13 (feet) ADJUSTED",166.13,False,163.8,
JS0885,"NAVD 88
 ORTHO HEIGHT - 52.021 (meters) 170.67 (feet) ADJUSTED",170.67,False,168.3,
KS1130,"NAVD 88
 ORTHO HEIGHT - 50.768 (meters) 166.56 (feet) ADJUSTED",166.56,True,164.23,
KT0028,"NAVD 88
 ORTHO HEIGHT - 52.568 (meters) 172.47 (feet) ADJUSTED",172.47,False,170.08,
KT0024,"NAVD 88
 ORTHO HEIGHT - 55.115 (meters) 180.82 (feet) ADJUSTED",180.82,False,178.42,
KS1092,"NAVD 88
 ORTHO HEIGHT - 55.442 (meters) 181.90 (feet) ADJUSTED",181.9,True,179.56,
KS1237,,,,,
KS1120,"NAVD 88
 ORTHO HEIGHT - 58.555 (meters) 192.11 (feet) ADJUSTED",192.11,True,189.78,
KT0026,"NAVD 88
 ORTHO HEIGHT - 56.890 (meters) 186.65 (feet) ADJUSTED",186.65,False,184.25,
KT1684,,,,,
KS1119,"NAVD 88
 ORTHO HEIGHT - 61.507 (meters) 201.79 (feet) ADJUSTED",201.79,True,199.47,
KT0010,"NAVD 88
 ORTHO HEIGHT - 61.909 (meters) 203.11 (feet) ADJUSTED",203.11,False,200.69,
KS1095,"NAVD 88
 ORTHO HEIGHT - 62.195 (meters) 204.05 (feet) ADJUSTED",204.05,True,201.73,
KS1118,"NAVD 88
 ORTHO HEIGHT - 62.234 (meters) 204.18 (feet) ADJUSTED",204.18,True,201.85,
KT0009,"NAVD 88
 ORTHO HEIGHT - 62.42 (+/-2cm) 204.8 (feet) VERTCON3",204.8,False,202.36,
KT0006,,,,,
KT0013,"NAVD 88
 ORTHO HEIGHT - 64.194 (meters) 210.61 (feet) ADJUSTED",210.61,False,208.18,
KT0003,,,,,
KT0001,,,,,
KT1682,,,,,
LU0262,"NAVD 88
 ORTHO HEIGHT - 65.26 (+/-2cm) 214.1 (feet) VERTCON3",214.1,False,211.68,
LU1543,,,,,
KT1683,,,,,
LU0258,"NAVD 88
 ORTHO HEIGHT - 67.53 (+/-2cm) 221.6 (feet) VERTCON3",221.6,False,219.13,
LU0259,"NAVD 88
 ORTHO HEIGHT - 68.655 (meters) 225.25 (feet) ADJUSTED",225.25,False,222.85,
LU1542,,,,,
LU0253,"NAVD 88
 ORTHO HEIGHT - 73.874 (meters) 242.37 (feet) ADJUSTED",242.37,False,239.95,
LU1541,,,,,
LU1613,,,,,
LU0235,,,,,
LU0249,"NAVD 88
 ORTHO HEIGHT - 82.218 (meters) 269.74 (feet) ADJUSTED",269.74,False,267.32,
LU1612,,,,,
LU1610,,,,,
LU1655,,,,,
LU1611,,,,,
LU0240,"NAVD 88
 ORTHO HEIGHT - 94.103 (meters) 308.74 (feet) ADJUSTED",308.74,False,306.29,
LU0241,"NAVD 88
 ORTHO HEIGHT - 93.197 (meters) 305.76 (feet) ADJUSTED",305.76,False,303.32,
LU1609,,,,,
LU0242,"NAVD 88
 ORTHO HEIGHT - 95.254 (meters) 312.51 (feet) ADJUSTED",312.51,False,310.07,
LU0211,,,,,
LU1608,,,,,
LU0210,"NAVD 88
 ORTHO HEIGHT - 128.646 (meters) 422.07 (feet) ADJUSTED",422.07,False,419.56,
LU1602,,,,,
LU0203,"NAVD 88
 ORTHO HEIGHT - 131.886 (meters) 432.70 (feet) ADJUSTED",432.7,False,430.12,
LU0202,"NAVD 88
 ORTHO HEIGHT - 131.834 (meters) 432.53 (feet) ADJUSTED",432.53,False,429.95,
LU1604,,,,,
LU0193,"NAVD 88
 ORTHO HEIGHT - 133.519 (meters) 438.05 (feet) ADJUSTED",438.05,False,435.47,
LU1596,,,,,
LU0224,"NAVD 88
 ORTHO HEIGHT - 134.373 (meters) 440.86 (feet) ADJUSTED",440.86,False,438.36,
LU1600,,,,,
LU1553,,,,,
LU1605,,,,,
LU0011,,,,,
LU1607,,,,,
LU0090,"NAVD 88
 ORTHO HEIGHT - 158.41 (+/-2cm) 519.7 (feet) VERTCON3",519.7,False,517.09,
LU0091,"NAVD 88
 ORTHO HEIGHT - 160.07 (+/-2cm) 525.2 (feet) VERTCON3",525.2,False,522.54,
LU0218,"NAVD 88
 ORTHO HEIGHT - 161.414 (meters) 529.57 (feet) ADJUSTED",529.57,False,527.04,
LU0092,"NAVD 88
 ORTHO HEIGHT - 164.57 (+/-2cm) 539.9 (feet) VERTCON3",539.9,False,537.32,
LU0089,"NAVD 88
 ORTHO HEIGHT - 168.670 (meters) 553.38 (feet) ADJUSTED",553.38,False,550.75,
LU0093,,,,,
LU0009,"NAVD 88
 ORTHO HEIGHT - 170.262 (meters) 558.60 (feet) ADJUSTED",558.6,False,555.97,
LU0001,"NAVD 88
 ORTHO HEIGHT - 171.643 (meters) 563.13 (feet) ADJUSTED",563.13,False,560.5,
LU0094,"NAVD 88
 ORTHO HEIGHT - 174.74 (+/-2cm) 573.3 (feet) VERTCON3",573.3,False,570.66,
LU0008,"NAVD 88
 ORTHO HEIGHT - 180.904 (meters) 593.52 (feet) ADJUSTED",593.52,False,590.91,
LU0095,"NAVD 88
 ORTHO HEIGHT - 181.21 (+/-2cm) 594.5 (feet) VERTCON3",594.5,False,591.88,
LU1606,,,,,
LU0096,"NAVD 88
 ORTHO HEIGHT - 181.87 (+/-2cm) 596.7 (feet) VERTCON3",596.7,False,594.03,
LU1576,,,,,
LU0097,"NAVD 88
 ORTHO HEIGHT - 187.28 (+/-2cm) 614.4 (feet) VERTCON3",614.4,False,611.77,
LU1573,,,,,
LU1578,,,,,
LU1571,,,,,
LU1575,,,,,
LU1567,,,,,
LU1570,,,,,
LU1563,,,,,
LU1565,,,,,
LU1561,,,,,
LU1562,,,,,
LU1558,,,,,
LU1560,,,,,
LU1556,,,,,
LU1557,,,,,
LU0177,"NAVD 88
 ORTHO HEIGHT - 378.151 (meters) 1240.65 (feet) ADJUSTED",1240.65,False,1237.8,
LU0176,"NAVD 88
 ORTHO HEIGHT - 378.086 (meters) 1240.44 (feet) ADJUSTED",1240.44,False,1237.59,
LU0179,"NAVD 88
 ORTHO HEIGHT - 402.857 (meters) 1321.71 (feet) POSTED",1321.71,,,
LU0180,"NAVD 88
 ORTHO HEIGHT - 403.722 (meters) 1324.54 (feet) ADJUSTED",1324.54,False,1321.7,
MX0080,"NAVD 88
 ORTHO HEIGHT - 467.353 (meters) 1533.31 (feet) POSTED",1533.31,True,1530.03,
MX0077,"NAVD 88
 ORTHO HEIGHT - 443.102 (meters) 1453.74 (feet) ADJUSTED",1453.74,True,1450.79,
MX0086,"NAVD 88
 ORTHO HEIGHT - 526.437 (meters) 1727.15 (feet) POSTED",1727.15,True,1723.81,
MX0853,,,,,
MX0854,,,,,
MX0088,"NAVD 88
 ORTHO HEIGHT - 543.686 (meters) 1783.74 (feet) ADJUSTED",1783.74,True,1780.72,
MX0910,,,,,
MX0095,"NAVD 88
 ORTHO HEIGHT - 603.986 (meters) 1981.58 (feet) ADJUSTED",1981.58,True,1978.5,
MX0101,"NAVD 88
 ORTHO HEIGHT - 662.055 (meters) 2172.09 (feet) POSTED",2172.09,True,2168.66,
MX0098,"NAVD 88
 ORTHO HEIGHT - 628.069 (meters) 2060.59 (feet) ADJUSTED",2060.59,True,2057.43,
MX0855,,,,,
MX0105,"NAVD 88
 ORTHO HEIGHT - 697.793 (meters) 2289.34 (feet) ADJUSTED",2289.34,True,2286.21,
MX0580,,,,,
MX0107,"NAVD 88
 ORTHO HEIGHT - 698.753 (meters) 2292.49 (feet) ADJUSTED",2292.49,True,2289.33,
MX0108,,,,,
MX0864,,,,,
MX0111,,,,,
MX0113,"NAVD 88
 ORTHO HEIGHT - 836.046 (meters) 2742.93 (feet) POSTED",2742.93,True,2739.24,
MX0119,"NAVD 88
 ORTHO HEIGHT - 962.611 (meters) 3158.17 (feet) ADJUSTED",3158.17,True,3154.74,
MX0857,,,,,
MX0128,,,,,
MX0127,,,,,
MX0018,,,,,
MX0059,"NAVD 88
 ORTHO HEIGHT - 1057.521 (meters) 3469.55 (feet) ADJUSTED",3469.55,True,3465.95,
MX0149,"NAVD 88
 ORTHO HEIGHT - 1073.789 (meters) 3522.92 (feet) ADJUSTED",3522.92,True,3519.3,
MX0849,,,,,
MX0860,,,,,
MX0132,"NAVD 88
 ORTHO HEIGHT - 1084.418 (meters) 3557.79 (feet) ADJUSTED",3557.79,True,3554.23,
MX0861,,,,,
MX0859,,,,,
MX0134,"NAVD 88
 ORTHO HEIGHT - 1102.433 (meters) 3616.90 (feet) POSTED",3616.9,True,3613.06,
